Country Name,World Rank,Region Rank,2020 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
Cuba,178.0,31.0,26.9,20.1,10.0,38.7,49.5,0.0,14.8,20.0,20.0,64.1,65.6,10.0,10.0,7.2,50.0,30.0,40.6,64.80333333333334,11.3,155.858,2.3,2.0,13750.0,2.3,6.9,1542.18,51.0
Cyprus,37.0,20.0,70.1,77.4,50.5,57.6,74.8,58.6,80.0,76.6,59.7,84.3,86.4,75.0,60.0,1.8,35.0,12.5,33.7,37.144,0.864,34.546,3.878,2.8,39973.22,8.1,0.784,3284.998642571324,102.544
Czech Republic,23.0,13.0,74.8,76.8,49.9,64.2,82.0,52.7,97.8,69.7,77.6,80.8,86.4,80.0,80.0,1.8,15.0,19.0,34.9,39.711127914866665,10.593,395.868,2.913,3.5,37370.97,2.4,2.158,9478.886346567315,32.958
Denmark,8.0,4.0,78.3,86.3,84.6,93.0,42.0,19.7,97.7,88.7,86.2,84.6,86.4,90.0,80.0,1.8,56.0,23.5,46.0,51.74501237783334,5.781,301.319,1.217,2.0,52120.54,5.0,0.709,1789.4980220504165,34.269
Djibouti,151.0,33.0,52.9,58.8,31.7,25.5,75.3,53.6,10.9,62.3,60.6,76.5,49.8,80.0,50.0,17.6,30.0,25.0,30.8,39.330999999999996,1.049,3.971,6.7,6.5,3785.76,11.1,-0.136,265.0,67.378
Dominica,97.0,20.0,60.8,59.8,62.6,51.2,70.5,16.0,86.2,70.4,60.7,83.5,68.4,70.0,30.0,8.3,35.0,30.0,28.7,52.921,0.071,0.699,-11.966,-2.8,9886.08,0.0,1.359,-37.178148148148146,83.146
Dominican Republic,95.0,19.0,60.9,55.8,18.2,31.2,84.5,90.5,82.4,50.3,57.5,73.5,76.6,70.0,40.0,4.2,25.0,27.0,13.9,17.840999999999998,10.271,189.237,7.0,6.6,18424.61,5.8,3.564,2535.3,41.64
Ecuador,158.0,28.0,51.3,40.4,20.7,33.4,77.5,57.9,62.3,53.8,48.0,81.0,66.0,35.0,40.0,7.0,35.0,25.0,19.9,37.45466666666667,17.023,199.481,1.054,1.2,11718.05,3.9,-0.224,1401.03,46.132
Egypt,142.0,11.0,54.0,48.5,51.2,34.0,86.1,69.9,2.8,62.0,51.5,61.3,70.2,60.0,50.0,7.4,25.0,23.0,15.2,31.677000000000003,96.98,1296.286,5.314,4.2,13366.47,11.4,20.86,6797.6,92.618
El Salvador,90.0,16.0,61.6,41.6,30.1,31.6,77.8,82.8,80.0,53.6,52.3,78.6,80.8,70.0,60.0,2.1,30.0,30.0,20.4,23.935999999999996,6.641,53.401,2.536,2.3,8041.2,4.4,1.088,839.554,67.07
Equatorial Guinea,167.0,42.0,48.3,38.1,19.5,15.1,75.1,86.4,77.2,37.5,34.2,78.1,48.8,40.0,30.0,15.6,35.0,35.0,5.924105485330154,21.298000000000002,1.314,29.838,-5.728,-5.6,22709.69,9.2,1.346,395.8843645524204,35.855
Eritrea,177.0,47.0,38.5,32.5,14.3,21.4,81.4,74.7,0.0,18.2,69.7,61.0,69.2,0.0,20.0,5.4,30.0,30.0,8.0,29.05933333333333,6.047,10.017,4.192,3.3,1656.53,6.5,9.0,61.015,129.416
Estonia,10.0,5.0,77.7,83.2,73.7,85.9,81.1,53.3,99.9,73.5,57.3,78.6,86.4,90.0,70.0,1.8,20.0,20.0,33.0,39.446981425,1.319,44.955,3.866,3.4,34095.76,5.5,3.412,1309.3579952549017,8.05
Eswatini,131.0,22.0,55.3,49.8,42.4,37.2,72.8,62.8,17.6,58.9,67.9,75.2,88.6,50.0,40.0,0.7,33.0,28.0,29.1,35.23466666666667,1.101,12.132,0.209,1.5,11019.77,22.5,4.825,25.41758836817107,34.859
Ethiopia,146.0,30.0,53.6,36.5,45.1,29.4,77.4,90.8,79.2,48.6,57.6,62.7,60.8,35.0,20.0,12.1,35.0,30.0,11.6,17.518333333333334,94.138,219.545,7.705,9.3,2332.16,1.8,13.815,3310.3,61.089
Fiji,77.0,15.0,63.4,69.9,42.6,45.6,80.5,68.9,84.2,62.6,76.2,72.5,52.8,55.0,50.0,16.1,29.0,20.0,26.6,32.20666666666667,0.89,9.106,3.2,3.3,10233.64,4.2,4.08,344.0676829326716,49.672
Finland,20.0,11.0,75.7,92.3,80.5,96.1,67.5,11.2,90.7,84.8,50.3,83.6,86.4,85.0,80.0,1.8,31.25,20.0,43.3,54.415524164033336,5.524,256.456,2.429,1.4,46429.53,7.8,1.169,1225.2269266634403,60.517
France,64.0,34.0,66.0,85.9,71.2,83.3,48.8,4.5,67.1,82.5,46.1,76.7,81.4,75.0,70.0,1.8,45.0,31.0,46.2,56.42540601433333,64.725,2962.799,1.521,1.4,45775.15,9.2,2.102,37293.84789716592,98.594
Gabon,118.0,16.0,56.7,36.9,20.8,36.7,74.3,89.3,88.9,52.1,52.3,77.3,51.2,60.0,40.0,16.9,35.0,30.0,21.1,18.901,2.053,37.968,1.221,2.4,18495.87,19.5,4.773,845.7529606347163,58.194
